66086	Nederland	2750405	0
66086	Friesland	2755812	0
66086	Overijssel	2748838	0
66086	Flevoland	3319179	0
66086	Gelderland	2755634	0
66086	Utrecht	2745909	0
66086	Noord-Holland	2749879	0
66086	Drenthe	2756631	0
252586	Nederland	2750405	0
252586	de Veluwe	2757527	0
252586	Universiteit Twente	7303567	0
252586	Universiteit van Amsterdam	6944498	0
252586	Nederland	2750405	0
252586	Nederland	2750405	0
252586	Nederland	2750405	0
96164	Vriezenveen	2745182	1
96164	Vriezenveen	2745182	0
96164	Vriezenveen	2745182	0
96164	Westerhaar	2744741	0
135049	Londen	2643743	0
154097	Groningen	2755251	0
154097	Amsterdam	2759794	0
154097	Amsterdam	2759794	0
122193	Polsbroek	2748513	0
122193	Barneveld	2759407	0
122193	Barneveld	2759407	0
122193	Bornerbroek	2758595	0
124923	Raqqa	172955	1
124923	Ma'dan	167538	0
124923	Raqqa	172955	0
124923	Raqqa	172955	0
124923	Syrie	163843	0
113677	Dierenpark Amersfoort	6954192	0
113677	Alpe d'Huez	3008406	0
113677	Frankrijk	3017382	0
223425	Utrecht	2745912	1
223425	Utrecht	2745912	0
223425	Gramsbergen	2755371	0
223425	Nieuwegein	2750325	0
161308	Zwolle	2743477	1
161308	Zwolle	2743477	0
82972	Breda	2758401	1
82972	Breda	2758401	0
82972	Duitsland	2921044	0
82972	Breda	2758401	0
71277	VS	6252001	1
71277	Verenigde Staten	6252001	0
71277	Illinois	4896861	0
71277	New Minden	4245616	0
71277	Michigan	5001836	0
71277	Chicago	4887398	0
202051	Belgie	2802361	1
202051	Bekegem	2802380	0
202051	Brugge	2800931	0
202051	Bekegem	2802380	0
202051	Wallonie	3337387	0
202051	Frankrijk	3017382	0
109698	Jemen	69543	1
109698	Caïro	360630	1
109698	Jemen	69543	0
109698	Caïro	360630	0
109698	Verenigde Staten	6252001	0
109698	Groot-Brittannie	2635167	0
109698	Verenigde Arabische Emiraten	290557	0
109698	Jemen	69543	0
109698	Jemen	69543	0
109698	Saudi-Arabië	102358	0
169997	Turkije	298795	0
169997	Jerevan	616052	0
169997	Turkije	298795	0
169997	Turkije	298795	0
169997	Turkije	298795	0
169997	Turkije	298795	0
169997	Anatolie	323835	0
169997	Turkije	298795	0
169997	Turkije	298795	0
169997	Turkije	298795	0
169997	Turkije	298795	0
169997	Europa	6255148	0
169997	Amerika	6252001	0
169997	Turkije	298795	0
169997	Den Haag	2747373	0
169997	Nederland	2750405	0
169997	Turkije	298795	0
169997	Europa	6255148	0
169997	Turkije	298795	0
169997	Berlijn	2950159	0
169997	Duitsland	2921044	0
169997	Turkije	298795	0
169997	Armenië	174982	0
169997	Frankrijk	3017382	0
169997	Frankrijk	3017382	0
169997	West-Europa	9408659	0
169997	Turkije	298795	0
169997	Nederland	2750405	0
169997	Nederland	2750405	0
169997	Turkije	298795	0
169997	Nederland	2750405	0
169997	Turkije	298795	0
40086	Groot-Brittannie	2635167	0
40086	Groot-Brittannie	2635167	0
40086	Engeland	6269131	0
40086	Engeland	6269131	0
40086	Schotland	2638360	0
40086	Groot-Brittannie	2635167	0
87670	Noord-Ierland	2641364	0
87670	Belfast	2655984	0
233745	Nederland	2750405	0
184147	Utrecht	2745912	0
129374	Enschede	2756071	0
129374	Apeldoorn	2759706	0
129374	Enschede	2756071	0
129374	Wilp	2744373	0
129374	Borne	2758598	0
28868	Congo	203312	1
28868	Congo	203312	0
69992	Londen	2643743	1
69992	Groot-Brittannie	2635167	0
69992	Londen	2643743	0
69992	Londen	2643743	0
69992	Groot-Brittannie	2635167	0
69992	Londen	2643743	0
69992	Dubai	292223	0
250086	Krimpen aan den IJssel	2752263	1
250086	Krimpen aan den IJssel	2752263	0
133490	Kerkrade	2752923	1
133490	Kerkrade	2752923	0
71290	Jakarta	1642911	1
71290	Indonesie	1643084	0
71290	Australie	2077456	0
71290	Australie	2077456	0
71290	VS	6252001	0
30575	Manchester	2643123	0
201545	Brazilie	3469034	1
201545	Brazilie	3469034	0
201545	Saudi-Arabië	102358	0
201545	Brazilie	3469034	0
201545	Brazilie	3469034	0
201545	Brazilie	3469034	0
201545	Brazilie	3469034	0
201545	Qatar	289688	0
201545	Ecuador	3658394	0
201545	Brazilie	3469034	0
201545	Ecuador	3658394	0
201545	Ecuador	3658394	0
201545	Qatar	289688	0
201545	Qatar	289688	0
201545	Saudi-Arabië	102358	0
201545	Saudi-Arabië	102358	0
201545	Irak	99237	0
201545	Iran	130758	0
201545	Verenigde Arabische Emiraten	290557	0
201545	Koeweit	285570	0
201545	Venezuela	3625428	0
201545	Rusland	2017370	0
201545	VS	6252001	0
201545	Rusland	2017370	0
201545	Wenen	2761369	0
27954	Bodegraven	2758765	0
27954	Bodegraven	2758765	0
31886	Europa	6255148	0
31886	Rusland	2017370	0
31886	Moskou	524901	0
31886	Moskou	524901	0
31886	Rusland	2017370	0
69375	Duitsland	2921044	1
69375	Duitsland	2921044	0
69375	Berlijn	2950159	0
69375	Europese Unie	6695072	0
69375	Oekraïne	690791	0
69375	Oekraïne	690791	0
69375	EU	6255148	0
58735	Pakistan	1168579	1
58735	Pakistan	1168579	0
58735	Karachi	1174872	0
58735	Karachi	1174872	0
58735	Karachi	1174872	0
58735	Pakistan	1168579	0
58735	Pakistan	1168579	0
241161	Belgie	2802361	1
241161	Belgie	2802361	0
241161	Congo	203312	0
241161	Belgie	2802361	0
241161	Congo	203312	0
241161	Belgie	2802361	0
241161	Brussel	2800866	0
241161	Congo	203312	0
241161	Congo	203312	0
